,A,B,C,D,E,F,G
14887,18,40,09,07,02,14,48
14886,31,09,24,14,11,45,47
14885,07,01,41,04,27,47,46
14884,32,28,04,01,47,10,09
14883,26,39,23,40,46,31,01
14882,35,45,14,11,23,12,25
14881,39,17,42,41,21,34,37
14880,07,40,37,49,19,11,02
14879,29,32,03,24,48,33,35
14878,21,24,18,23,09,11,20
14877,43,25,17,32,18,35,07
14876,15,43,13,05,47,42,10
14875,17,02,32,12,09,45,04
14874,29,09,23,02,10,06,48
14873,44,47,18,36,22,14,38
14872,30,19,18,31,15,35,40
14871,29,46,43,41,30,04,38
14870,03,26,49,06,25,13,15
14869,44,05,06,24,12,02,04
14868,46,15,17,41,40,23,36
14867,14,03,29,07,02,45,22
14866,48,32,08,14,16,04,36
14865,32,33,42,45,40,29,26
14864,29,15,03,13,16,19,43
14863,32,21,39,06,38,46,11
14862,09,46,03,49,08,33,15
14861,21,48,15,28,47,32,49
14860,39,12,23,35,05,32,13
14859,26,04,43,33,23,47,49
14858,11,06,07,45,27,15,47
14857,41,06,35,42,08,34,24
14856,12,38,19,18,04,45,02
14855,01,28,13,12,29,27,44
14854,05,37,33,09,22,40,38
14853,28,17,40,48,10,09,01
14852,35,41,04,49,01,14,46
14851,12,16,20,32,09,46,29
14850,09,07,39,14,18,46,30
14849,18,03,20,35,17,15,22
14848,28,29,25,06,13,48,33
14847,04,19,48,25,30,15,20
14846,04,12,19,41,26,02,33
14845,19,41,22,01,27,21,06
14844,22,32,23,25,09,15,01
14843,38,13,46,21,49,45,17
14842,30,27,36,28,22,40,12
14841,33,03,02,07,32,10,49
14840,22,02,24,16,37,38,27
14839,12,18,16,08,14,22,48
14838,27,04,38,11,18,20,43
14837,30,11,44,12,48,39,38
14836,19,17,39,24,32,25,11
14835,34,04,41,05,14,44,01
14834,13,29,49,36,21,28,25
14833,44,37,09,32,03,16,24
14832,20,02,07,39,37,23,01
14831,26,23,03,14,41,20,48
14830,49,34,02,08,04,36,40
14829,16,06,18,46,25,13,30
14828,20,38,34,29,13,08,16
14827,41,10,11,25,30,48,42
14826,25,04,07,31,36,27,19
14825,40,03,11,26,43,31,14
14824,38,30,29,34,36,39,13
14823,24,13,42,48,36,28,30
14822,20,04,09,11,43,24,36
14821,25,35,22,18,02,31,12
14820,42,20,17,05,31,33,44
14819,49,06,08,38,04,09,15
14818,39,34,36,30,15,07,46
14817,06,22,26,03,23,17,36
14816,25,21,12,31,22,18,05
14815,40,27,19,12,13,34,08
14814,04,06,40,26,20,05,47
14813,31,27,26,05,34,39,19
14812,02,33,45,22,07,21,37
14811,17,08,05,30,02,19,21
14810,26,10,14,46,38,12,49
14809,10,47,24,21,31,17,27
14808,43,24,28,11,44,49,33
14807,18,32,43,11,13,41,35
